============================================================
TCGA GLIOMA ANALYSIS - 2026-01-12 19:33:50
============================================================

 RESULTS: CRT-logit
   Number of clusterings: 316 (FDR < 0.1)
   Representative Genes      | P-value    | Size  | Is GT
   PCDH15                    | 6.58e-03   | 82    | Yes  
   FOXG1                     | 6.88e-03   | 22    | Yes  
   FTMT                      | 7.55e-03   | 41    | Yes  
   CARD6                     | 7.74e-03   | 41    | Yes  
   GRIP1                     | 8.18e-03   | 9     | Yes  
   TG                        | 8.33e-03   | 36    | Yes  
   TIAM2                     | 8.74e-03   | 32    | Yes  
   HUWE1                     | 9.25e-03   | 22    | Yes  
   SPEN                      | 9.44e-03   | 52    | Yes  
   OR4N2                     | 9.50e-03   | 75    | Yes  
   KIF16B                    | 1.01e-02   | 41    | Yes  
   EXPH5                     | 1.03e-02   | 79    | Yes  
   MTUS2                     | 1.04e-02   | 30    | Yes  
   LRP4                      | 1.05e-02   | 43    | Yes  
   TCHH                      | 1.17e-02   | 104   | Yes  
   HELZ2                     | 1.26e-02   | 45    | Yes  
   LAMA1                     | 1.28e-02   | 56    | Yes  
   CSMD2                     | 1.47e-02   | 70    | Yes  
   PAPPA2                    | 1.47e-02   | 94    | Yes  
   MYH15                     | 1.53e-02   | 44    | Yes  
   MED12                     | 1.53e-02   | 77    | Yes  
   DVL2                      | 1.56e-02   | 67    | Yes  
   USP11                     | 1.76e-02   | 128   | Yes  
   AFF2                      | 1.90e-02   | 83    | Yes  
   NWD1                      | 1.95e-02   | 53    | Yes  
   ZNF638                    | 1.98e-02   | 114   | Yes  
   LAMC3                     | 2.11e-02   | 104   | Yes  
   HTR5A                     | 2.12e-02   | 24    | Yes  
   MAST4                     | 2.16e-02   | 38    | Yes  
   KCNJ12                    | 2.35e-02   | 41    | Yes  
   TRPA1                     | 2.37e-02   | 68    | Yes  
   ALPP                      | 2.56e-02   | 25    | Yes  
   FSCB                      | 2.82e-02   | 15    | Yes  
   ZDBF2                     | 2.89e-02   | 154   | Yes  
   VCAN                      | 2.91e-02   | 102   | Yes  

 RESULTS: Debiased Lasso
   Number of clusterings: 0 (FDR < 0.1)

 RESULTS: Knockoff
   Number of clusterings: 0 (FDR < 0.1)

============================================================
RESULTS SUMMARY:

 - CRT-logit           : 316 clusters
 - Debiased Lasso      : 0 clusters
 - Knockoff            : 0 clusters
============================================================
